Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:59:B8)
10/03/2024 13:20,32.26,65.43,
10/03/2024 13:10,32.21,65.98,
10/03/2024 13:00,32.16,66.53,
10/03/2024 12:50,32.12,67.08,
10/03/2024 12:40,32.64,64.88,
10/03/2024 12:30,32.54,65.38,
10/03/2024 12:20,32.45,65.87,
10/03/2024 12:10,32.36,66.36,
10/03/2024 12:00,32.27,66.86,
10/03/2024 11:50,32.17,67.35,
10/03/2024 11:40,32.08,67.84,
10/03/2024 11:30,31.99,68.34,
10/03/2024 11:20,31.9,68.83,
10/03/2024 11:10,31.81,69.32,
10/03/2024 11:00,32.42,66.95,
10/03/2024 10:50,32.33,67.39,
10/03/2024 10:40,32.25,67.82,
10/03/2024 10:30,32.17,68.25,
10/03/2024 10:20,32.08,68.68,
10/03/2024 10:10,32,69.12,
10/03/2024 10:00,31.92,69.55,
10/03/2024 9:50,31.83,69.98,
10/03/2024 9:40,31.75,70.41,
10/03/2024 9:30,31.67,70.84,
10/03/2024 9:20,31.75,70.86,
10/03/2024 9:10,31.85,70.42,
10/03/2024 9:00,31.94,69.98,
10/03/2024 8:50,32.04,69.55,
10/03/2024 8:40,32.13,69.11,
10/03/2024 8:30,32.23,68.68,
10/03/2024 8:20,32.32,68.24,
10/03/2024 8:10,32.42,67.81,
10/03/2024 8:00,32.51,67.37,
10/03/2024 7:50,32.6,66.94,
10/03/2024 7:40,31.39,71.18,
10/03/2024 7:30,31.49,70.7,
10/03/2024 7:20,31.58,70.23,
10/03/2024 7:10,31.68,69.76,
10/03/2024 7:00,31.77,69.28,
10/03/2024 6:50,31.87,68.81,
10/03/2024 6:40,31.96,68.34,
10/03/2024 6:30,32.06,67.86,
10/03/2024 6:20,32.15,67.39,
10/03/2024 6:10,32.24,66.92,
10/03/2024 6:00,32.12,65.93,
10/03/2024 5:50,32.03,66.51,
10/03/2024 5:40,31.95,67.09,
10/03/2024 5:30,31.86,67.66,
10/03/2024 5:20,31.78,68.24,
10/03/2024 5:10,31.69,68.82,
10/03/2024 5:00,31.61,69.39,
10/03/2024 4:50,31.52,69.97,
10/03/2024 4:40,31.44,70.55,
10/03/2024 4:30,31.36,71.12,
10/03/2024 4:20,31.31,71.49,
10/03/2024 4:10,31.39,70.86,
10/03/2024 4:00,31.47,70.24,
10/03/2024 3:50,31.54,69.62,
10/03/2024 3:40,31.62,69,
10/03/2024 3:30,31.69,68.37,
10/03/2024 3:20,31.77,67.75,
10/03/2024 3:10,31.84,67.13,
10/03/2024 3:00,31.92,66.51,
10/03/2024 1:50,31.99,65.89,
10/03/2024 1:40,32.12,71.15,
10/03/2024 1:30,32.01,70.49,
10/03/2024 1:20,31.91,69.84,
10/03/2024 1:10,31.81,69.19,
10/03/2024 1:00,31.71,68.54,
10/03/2024 0:50,31.61,67.88,
10/03/2024 0:40,31.51,67.23,
10/03/2024 0:30,31.41,66.58,
10/03/2024 0:20,31.31,65.93,
10/03/2024 0:10,31.21,65.28,
10/03/2024 0:00,31.24,71.48,
9/03/2024 23:50,31.35,70.81,
9/03/2024 23:40,31.45,70.15,
9/03/2024 23:30,31.55,69.49,
9/03/2024 23:20,31.66,68.83,
9/03/2024 23:10,31.76,68.16,
9/03/2024 23:00,31.86,67.5,
9/03/2024 22:50,31.97,66.84,
9/03/2024 22:40,32.07,66.18,
9/03/2024 22:30,32.17,65.52,
9/03/2024 22:20,32.12,65.64,
9/03/2024 22:10,32.03,66.29,
9/03/2024 22:00,31.94,66.93,
9/03/2024 21:50,31.85,67.58,
9/03/2024 21:40,31.76,68.22,
9/03/2024 21:30,31.67,68.87,
9/03/2024 21:20,31.58,69.51,
9/03/2024 21:10,31.49,70.16,
9/03/2024 21:00,31.4,70.8,
9/03/2024 20:50,31.31,71.44,
9/03/2024 20:40,31.24,71.48,
9/03/2024 20:30,31.36,70.86,
9/03/2024 20:20,31.48,70.25,
9/03/2024 20:10,31.6,69.64,
9/03/2024 20:00,31.72,69.02,
9/03/2024 19:50,31.84,68.41,
9/03/2024 19:40,31.96,67.8,
9/03/2024 19:30,32.08,67.18,
9/03/2024 19:20,32.2,66.57,
9/03/2024 19:10,32.31,65.96,
9/03/2024 19:00,31.84,67.04,
9/03/2024 18:50,31.92,67.44,
9/03/2024 18:40,31.99,67.84,
9/03/2024 18:30,32.06,68.24,
9/03/2024 18:20,32.13,68.64,
9/03/2024 18:10,32.21,69.03,
9/03/2024 18:00,32.28,69.43,
9/03/2024 17:50,32.35,69.83,
9/03/2024 17:40,32.42,70.23,
9/03/2024 17:30,32.49,70.62,
9/03/2024 17:20,31.74,70.08,
9/03/2024 17:10,31.83,69.49,
9/03/2024 17:00,31.91,68.9,
9/03/2024 16:50,31.99,68.32,
9/03/2024 16:40,32.07,67.73,
9/03/2024 16:30,32.16,67.14,
9/03/2024 16:20,32.24,66.56,
9/03/2024 16:10,32.32,65.97,
9/03/2024 16:00,32.4,65.38,
9/03/2024 15:50,32.48,64.8,
9/03/2024 15:40,32.58,63.27,
9/03/2024 15:30,32.52,63.84,
9/03/2024 15:20,32.46,64.4,
9/03/2024 15:10,32.41,64.97,
9/03/2024 15:00,32.35,65.53,
9/03/2024 14:50,32.3,66.1,
9/03/2024 14:40,32.24,66.66,
9/03/2024 14:30,32.19,67.23,
9/03/2024 14:20,32.13,67.79,
9/03/2024 14:10,32.08,68.35,
9/03/2024 14:00,32.74,65.21,
9/03/2024 13:50,32.67,64.03,
9/03/2024 13:40,32.6,62.86,
9/03/2024 13:30,32.53,61.69,
9/03/2024 13:20,32.46,60.51,
9/03/2024 13:10,32.39,59.34,
9/03/2024 13:00,32.32,58.17,
9/03/2024 12:50,32.25,56.99,
9/03/2024 12:40,32.18,55.82,
9/03/2024 12:30,32.12,54.65,
9/03/2024 12:20,32.12,68.74,
9/03/2024 12:10,32.17,65.19,
9/03/2024 12:00,32.22,61.64,
9/03/2024 11:50,32.27,58.1,
9/03/2024 11:40,32.32,54.55,
9/03/2024 11:30,32.36,51.01,
9/03/2024 11:20,32.41,47.46,
9/03/2024 11:10,32.46,43.92,
9/03/2024 11:00,32.51,40.37,
9/03/2024 10:50,32.55,36.83,
9/03/2024 10:40,32.74,63.32,
9/03/2024 10:30,32.67,63.79,
9/03/2024 10:20,32.6,64.26,
9/03/2024 10:10,32.53,64.73,
9/03/2024 10:00,32.46,65.2,
9/03/2024 9:50,32.4,65.66,
9/03/2024 9:40,32.33,66.13,
9/03/2024 9:30,32.26,66.6,
9/03/2024 9:20,32.19,67.07,
9/03/2024 9:10,32.13,67.53,
9/03/2024 9:00,32.62,65.12,
9/03/2024 8:50,32.57,64.66,
9/03/2024 8:40,32.53,64.21,
9/03/2024 8:30,32.49,63.76,
9/03/2024 8:20,32.45,63.31,
9/03/2024 8:10,32.4,62.85,
9/03/2024 8:00,32.36,62.4,
9/03/2024 7:50,32.32,61.95,
9/03/2024 7:40,32.28,61.5,
9/03/2024 7:30,32.24,61.05,
9/03/2024 7:20,32.31,65.39,
9/03/2024 7:10,32.36,64.89,
9/03/2024 7:00,32.41,64.4,
9/03/2024 6:50,32.46,63.9,
9/03/2024 6:40,32.51,63.41,
9/03/2024 6:30,32.55,62.91,
9/03/2024 6:20,32.6,62.42,
9/03/2024 6:10,32.65,61.92,
9/03/2024 6:00,32.7,61.43,
9/03/2024 5:50,32.74,60.94,
9/03/2024 5:40,32.48,64.51,
9/03/2024 5:30,32.41,63.98,
9/03/2024 5:20,32.35,63.46,
9/03/2024 5:10,32.29,62.94,
9/03/2024 5:00,32.23,62.42,
9/03/2024 4:50,32.16,61.89,
9/03/2024 4:40,32.1,61.37,
9/03/2024 4:30,32.04,60.85,
9/03/2024 4:20,31.98,60.33,
9/03/2024 4:10,31.92,59.81,
9/03/2024 4:00,31.84,64.59,
9/03/2024 3:50,31.9,64.03,
9/03/2024 3:40,31.96,63.47,
9/03/2024 3:30,32.02,62.91,
9/03/2024 3:20,32.08,62.35,
9/03/2024 3:10,32.14,61.79,
9/03/2024 3:00,32.2,61.23,
9/03/2024 2:50,32.26,60.67,
9/03/2024 2:40,32.32,60.11,
9/03/2024 2:30,32.37,59.56,
