Time,Temperature(℃),Humidity(%RH),MAC address(49:42:08:00:45:D3)
28/02/2024 6:40,30.55,63.01,
28/02/2024 6:30,30.51,62.85,
28/02/2024 6:20,30.46,62.7,
28/02/2024 6:10,30.42,62.54,
28/02/2024 6:00,30.37,62.38,
28/02/2024 5:50,30.33,62.23,
28/02/2024 5:40,30.48,61.97,
28/02/2024 5:30,30.41,61.84,
28/02/2024 5:20,30.34,61.71,
28/02/2024 5:10,30.27,61.59,
28/02/2024 5:00,30.2,61.46,
28/02/2024 4:50,30.13,61.33,
28/02/2024 4:40,30.06,61.21,
28/02/2024 4:30,29.99,61.08,
28/02/2024 4:20,29.92,60.95,
28/02/2024 4:10,29.86,60.83,
28/02/2024 4:00,29.86,61.49,
28/02/2024 3:50,29.91,61.3,
28/02/2024 3:40,29.95,61.11,
28/02/2024 3:30,29.99,60.93,
28/02/2024 3:20,30.03,60.74,
28/02/2024 3:10,30.08,60.56,
28/02/2024 3:00,30.12,60.37,
28/02/2024 2:50,30.16,60.19,
28/02/2024 2:40,30.2,60,
28/02/2024 2:30,30.24,59.82,
28/02/2024 2:20,30.35,60.5,
28/02/2024 2:10,30.29,60.29,
28/02/2024 2:00,30.24,60.08,
28/02/2024 1:50,30.18,59.88,
28/02/2024 1:40,30.13,59.67,
28/02/2024 1:30,30.07,59.47,
28/02/2024 1:20,30.02,59.26,
28/02/2024 1:10,29.96,59.06,
28/02/2024 1:00,29.91,58.85,
28/02/2024 0:50,29.86,58.65,
28/02/2024 0:40,30.24,58.92,
28/02/2024 0:30,30.19,58.68,
28/02/2024 0:20,30.15,58.44,
28/02/2024 0:10,30.11,58.2,
28/02/2024 0:00,30.06,57.96,
27/02/2024 23:50,30.02,57.72,
27/02/2024 23:40,29.98,57.48,
27/02/2024 23:30,29.93,57.24,
27/02/2024 23:20,29.89,57,
27/02/2024 23:10,29.85,56.76,
27/02/2024 23:00,30.3,56.7,
27/02/2024 22:50,30.24,56.32,
27/02/2024 22:40,30.19,55.94,
27/02/2024 22:30,30.13,55.57,
27/02/2024 22:20,30.08,55.19,
27/02/2024 22:10,30.02,54.82,
27/02/2024 22:00,29.97,54.44,
27/02/2024 21:50,29.91,54.07,
27/02/2024 21:40,29.86,53.69,
27/02/2024 21:30,29.81,53.32,
27/02/2024 21:20,29.8,53.47,
27/02/2024 21:10,29.87,52.2,
27/02/2024 21:00,29.94,50.93,
27/02/2024 20:50,30,49.66,
27/02/2024 20:40,30.07,48.39,
27/02/2024 20:30,30.13,47.12,
27/02/2024 20:20,30.2,45.85,
27/02/2024 20:10,30.26,44.58,
27/02/2024 20:00,30.33,43.31,
27/02/2024 19:50,30.39,42.05,
27/02/2024 19:40,30.11,53.32,
27/02/2024 19:30,30.2,53.17,
27/02/2024 19:20,30.28,53.03,
27/02/2024 19:10,30.36,52.88,
27/02/2024 19:00,30.45,52.74,
27/02/2024 18:50,30.53,52.59,
27/02/2024 18:40,30.61,52.45,
27/02/2024 18:30,30.7,52.3,
27/02/2024 18:20,30.78,52.16,
27/02/2024 18:10,30.86,52.02,
27/02/2024 18:00,30.61,52.28,
27/02/2024 17:50,30.64,52.18,
27/02/2024 17:40,30.67,52.09,
27/02/2024 17:30,30.7,52,
27/02/2024 17:20,30.73,51.91,
27/02/2024 17:10,30.75,51.81,
27/02/2024 17:00,30.78,51.72,
27/02/2024 16:50,30.81,51.63,
27/02/2024 16:40,30.84,51.54,
27/02/2024 16:30,30.86,51.45,
27/02/2024 16:20,30.86,51.56,
27/02/2024 16:10,30.83,51.49,
27/02/2024 16:00,30.8,51.42,
27/02/2024 15:50,30.77,51.36,
27/02/2024 15:40,30.74,51.29,
27/02/2024 15:30,30.72,51.22,
27/02/2024 15:20,30.69,51.16,
27/02/2024 15:10,30.66,51.09,
27/02/2024 15:00,30.63,51.02,
27/02/2024 14:50,30.61,50.96,
27/02/2024 14:40,30.86,51.32,
27/02/2024 14:30,30.83,51.25,
27/02/2024 14:20,30.8,51.18,
27/02/2024 14:10,30.77,51.11,
27/02/2024 14:00,30.74,51.04,
27/02/2024 13:50,30.72,50.97,
27/02/2024 13:40,30.69,50.9,
27/02/2024 13:30,30.66,50.83,
27/02/2024 13:20,30.63,50.76,
27/02/2024 13:10,30.61,50.69,
27/02/2024 13:00,30.55,51.15,
27/02/2024 12:50,30.58,51.06,
27/02/2024 12:40,30.61,50.97,
27/02/2024 12:30,30.64,50.88,
27/02/2024 12:20,30.67,50.79,
27/02/2024 12:10,30.69,50.7,
27/02/2024 12:00,30.72,50.61,
27/02/2024 11:50,30.75,50.52,
27/02/2024 11:40,30.78,50.43,
27/02/2024 11:30,30.8,50.34,
27/02/2024 11:20,30.83,50.59,
27/02/2024 11:10,30.8,50.49,
27/02/2024 11:00,30.77,50.39,
27/02/2024 10:50,30.75,50.29,
27/02/2024 10:40,30.72,50.19,
27/02/2024 10:30,30.7,50.09,
27/02/2024 10:20,30.67,49.99,
27/02/2024 10:10,30.65,49.89,
27/02/2024 10:00,30.62,49.79,
27/02/2024 9:50,30.6,49.7,
27/02/2024 9:40,30.61,49.67,
27/02/2024 9:30,30.64,49.6,
27/02/2024 9:20,30.66,49.54,
27/02/2024 9:10,30.68,49.48,
27/02/2024 9:00,30.7,49.42,
27/02/2024 8:50,30.72,49.36,
27/02/2024 8:40,30.74,49.3,
27/02/2024 8:30,30.76,49.24,
27/02/2024 8:20,30.78,49.18,
27/02/2024 8:10,30.8,49.12,
27/02/2024 8:00,30.86,49.22,
27/02/2024 7:50,30.83,49.15,
27/02/2024 7:40,30.8,49.09,
27/02/2024 7:30,30.77,49.03,
